datetime,dataset,runs,auc,auprc,num_epoch,epochs_trained,best_epoch,recall_at_k,auc_mean,auc_std,auc_var,auc_max,auprc_mean,auprc_std,auprc_var,auprc_max,recall_mean,recall_std,recall_var,recall_max,lr,batch_size,embedding_dim,patience,weight_decay,subgraph_size,auc_test_rounds,neg_sample_method,num_negs,strategy,alpha,lam,T,q,seed,seeds,community_method,max_communities,rwr_restart_prob,subgraph_cache_rounds,data_dir,train_dir
2026-06-24 10:46,YelpChi,10,68.45±0.93(69.72),10.52±0.46(11.24),100,100.00±0.00(100),99.90±0.30(100),12.82±0.76(13.89),0.684518,0.009264,0.000086,0.697155,0.105192,0.004621,0.000021,0.112424,0.128184,0.007593,0.000058,0.138866,0.00011195109511439825,256,96,20,1e-08,7,100,even,3,random,0.7000000000000001,0.5462902299486493,1.8308191138644898,0.3833289550971696,1,1;2;3;4;5;6;7;8;9;10,louvain,0,0.9,16,~/datasets/GAD/mat,./runs
2026-06-24 10:57,Flickr,10,68.20±1.84(69.80),18.54±3.41(21.09),100,100.00±0.00(100),99.40±0.92(100),24.40±3.57(28.44),0.682030,0.018416,0.000339,0.698042,0.185374,0.034082,0.001162,0.210900,0.244000,0.035705,0.001275,0.284444,1.0010667716935431e-05,64,32,20,0.0001,7,100,even,3,random,0.30000000000000004,0.4579607580920175,1.9912460660053763,0.24053345593123426,1,1;2;3;4;5;6;7;8;9;10,louvain,0,0.9,16,~/datasets/GAD/mat,./runs
2026-06-25 08:48,BlogCatalog,10,66.11±1.45(68.41),21.94±1.28(23.73),100,100.00±0.00(100),98.50±1.50(100),27.50±1.98(30.00),0.661148,0.014492,0.000210,0.684091,0.219429,0.012768,0.000163,0.237345,0.275000,0.019791,0.000392,0.300000,1.018397478831918e-05,512,128,20,0.0001,3,100,random,7,least-relevant,0.4,0.30368478045783126,0.7884229601684107,0.6029635101294829,1,1;2;3;4;5;6;7;8;9;10,louvain,0,0.9,16,~/datasets/GAD/mat,./runs
2026-06-25 08:50,cora,10,95.12±0.41(95.73),73.20±1.93(75.97),100,100.00±0.00(100),99.70±0.46(100),69.87±2.45(73.33),0.951168,0.004131,0.000017,0.957334,0.732026,0.019295,0.000372,0.759746,0.698667,0.024549,0.000603,0.733333,0.00018705588734863914,256,96,20,0.0001,5,100,bias,4,most-relevant,0.8,0.6499521069243598,1.3240885807272975,0.4963688883862929,1,1;2;3;4;5;6;7;8;9;10,louvain,0,0.9,16,~/datasets/GAD/mat,./runs
2026-06-25 09:02,tolokers,10,60.27±0.54(61.15),26.61±0.22(26.94),100,100.00±0.00(100),100.00±0.00(100),26.43±0.27(26.89),0.602667,0.005398,0.000029,0.611451,0.266125,0.002183,0.000005,0.269419,0.264302,0.002671,0.000007,0.268901,0.0001025350969016849,64,48,20,0.0,4,100,even,3,random,0.2,0.45996410688952816,1.3886218532930636,0.12787024763199864,1,1;2;3;4;5;6;7;8;9;10,louvain,0,0.9,16,~/datasets/GAD/mat,./runs
2026-06-25 09:34,book,10,54.31±0.41(55.09),2.53±0.06(2.62),100,100.00±0.00(100),99.50±0.81(100),3.57±0.00(3.57),0.543081,0.004098,0.000017,0.550925,0.025274,0.000577,0.000000,0.026187,0.035714,0.000000,0.000000,0.035714,0.000514833987466678,256,128,20,1e-08,6,100,random,3,least-relevant,0.5,0.6527011000968719,0.9551694513328369,0.4017824428822136,1,1;2;3;4;5;6;7;8;9;10,louvain,0,0.9,16,~/datasets/GAD/mat,./runs
2026-06-25 09:39,twitter,10,57.54±0.78(58.94),11.90±0.40(12.53),100,89.80±8.51(100),70.20±9.01(82),12.39±1.22(14.97),0.575396,0.007760,0.000060,0.589430,0.118987,0.003993,0.000016,0.125275,0.123909,0.012165,0.000148,0.149688,0.0017459547826946613,128,128,20,0.0001,7,100,bias,2,most-relevant,0.4,0.670303828884679,1.1772418039930366,0.5613779270463575,1,1;2;3;4;5;6;7;8;9;10,louvain,0,0.9,16,~/datasets/GAD/mat,./runs
2026-06-25 09:43,ACM,10,87.07±0.31(87.76),40.76±0.99(42.58),100,100.00±0.00(100),99.90±0.30(100),40.15±0.86(41.54),0.870700,0.003128,0.000010,0.877562,0.407583,0.009935,0.000099,0.425787,0.401508,0.008608,0.000074,0.415410,3.0290984602186017e-05,256,128,20,1e-06,7,100,random,6,random,0.9,0.6805069553687624,1.9762885811790578,0.585637470043746,1,1;2;3;4;5;6;7;8;9;10,louvain,0,0.9,16,~/datasets/GAD/mat,./runs
